last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Pujols, Albert,405395,2021,.256,.460,.322,.302,.204,90.3,12,29.3,9.1,
Cabrera, Miguel,408234,2021,.234,.420,.315,.301,.186,91.4,10,32.8,8.3,
Rivera, Rene,425784,2021,.196,.334,.263,.260,.138,88.5,13,30.2,9.3,
Wainwright, Adam,425794,2021,.140,.203,.176,.183,.063,86.1,4.7,15.2,2.2,
Molina, Yadier,425877,2021,.255,.406,.306,.300,.151,88,15.3,34.1,5.2,
Suzuki, Kurt,435559,2021,.204,.310,.264,.278,.105,85.2,14.6,28.9,3.9,
Cruz Jr., Nelson,443558,2021,.264,.512,.363,.341,.248,92.9,11.8,31.8,13.6,
Peralta, David,444482,2021,.243,.345,.293,.313,.103,89.3,5.3,27.2,5,
Pina, Manny,444489,2021,.219,.441,.331,.320,.222,86.5,18.8,32.2,10.5,
Escobar, Alcides,444876,2021,.271,.362,.309,.325,.091,81.7,11.1,36.3,3,
Longoria, Evan,446334,2021,.253,.486,.351,.344,.234,94.1,15.5,34.2,13.4,
Hill, Rich,448179,2021,.092,.096,.086,.092,.005,68.3,-24.9,18.8,0,
Morton, Charlie,450203,2021,.136,.170,.134,.136,.034,80.8,3.7,25.8,0,
Lester, Jon,452657,2021,.181,.287,.219,.213,.106,86,0.5,40,8,
Cabrera, Asdrubal,452678,2021,.214,.331,.286,.302,.117,87.8,14.5,30,6,
Scherzer, Max,453286,2021,.072,.096,.076,.073,.024,85.6,-4.6,22.9,0,
Arrieta, Jake,453562,2021,.082,.095,.150,.188,.013,77.4,10.5,27.3,0,
Blackmon, Charlie,453568,2021,.291,.450,.359,.369,.160,87.6,10.2,32.6,7,
Frazier, Todd,453943,2021,.174,.288,.262,.278,.113,87.5,12.7,17.2,3.4,
Maldonado, Martin,455117,2021,.183,.312,.267,.282,.129,88,17.6,30.8,5.7,
Chirinos, Robinson,455139,2021,.189,.362,.291,.292,.172,89.4,21.7,29,8.1,
Cueto, Johnny,456501,2021,.111,.120,.161,.195,.009,75.9,-11.2,8,0,
Cain, Lorenzo,456715,2021,.254,.382,.317,.327,.128,88.4,7.2,29,4.3,
Solano, Donovan,456781,2021,.275,.432,.335,.340,.158,88.3,11,39.8,7.5,
McCutchen, Andrew,457705,2021,.240,.431,.344,.352,.191,88.8,14.6,33.6,9,
Upton, Justin,457708,2021,.226,.429,.322,.311,.203,90.1,15.2,30.4,11.7,
Maybin, Cameron,457727,2021,.096,.114,.189,.233,.018,88.3,-1.6,12.5,0,
Turner, Justin,457759,2021,.270,.470,.359,.358,.199,90.9,19.2,36.5,7.9,
Posey III, Buster,457763,2021,.281,.469,.361,.370,.188,88.5,8.7,38.4,8.1,
Bruce, Jay,457803,2021,.161,.215,.231,.269,.054,84,8.5,38.1,0,
Votto, Joey,458015,2021,.274,.592,.406,.383,.318,92.9,18.2,44.3,17.2,
Gardner, Brett,458731,2021,.219,.322,.296,.326,.103,86.7,12.5,29.2,3.4,
Joyce, Matt,459964,2021,.162,.299,.275,.318,.137,85.7,14.8,25,10,
Butera, Drew,460077,2021,.145,.169,.149,.152,.024,84.9,18.9,45,0,
Romine, Andrew,461865,2021,.190,.234,.217,.241,.044,80.5,7.1,36.1,0,
Andrus, Elvis,462101,2021,.273,.375,.308,.324,.102,87.8,8.1,34,2.1,
Sandoval, Pablo,467055,2021,.203,.390,.316,.323,.188,91.5,14,41.7,10.4,
Ramos, Wilson,467092,2021,.236,.413,.308,.283,.178,89.6,6.6,30.2,11.2,
Santana, Carlos,467793,2021,.244,.421,.335,.345,.177,89.9,12.9,28,6.8,
Parra, Gerardo,467827,2021,.213,.297,.253,.271,.084,87.5,15.7,36.2,1.4,
Anderson, Brett,474463,2021,.078,.084,.150,.193,.006,71,-0.7,18.8,0,
Mercer, Jordy,474568,2021,.239,.351,.284,.293,.113,86.7,13.2,42.9,3.6,
Belt, Brandon,474832,2021,.243,.525,.374,.354,.282,89.2,23,35.9,17,
Zimmerman, Ryan,475582,2021,.232,.418,.300,.277,.186,91.3,7.4,32.2,10.6,
Lowrie, Jed,476704,2021,.259,.464,.343,.332,.206,90.7,16.4,36.5,9.3,
Kershaw, Clayton,477132,2021,.214,.244,.213,.235,.030,79.6,-8.3,33.3,0,
Avila, Alex,488671,2021,.176,.316,.297,.333,.140,88.6,10.8,39.6,11.3,
Brantley Jr., Michael,488726,2021,.312,.466,.361,.365,.154,89.5,9.9,38.8,5.8,
Castro, Jason,488771,2021,.257,.503,.376,.375,.247,90.5,14.5,43.3,14.4,
Miley, Wade,489119,2021,.219,.266,.238,.260,.047,86.2,1.7,27.9,0,
Gurriel, Yuli,493329,2021,.271,.386,.326,.347,.115,89.8,13.4,31,3.4,
Rojas, Miguel,500743,2021,.249,.345,.292,.308,.096,86.2,11.5,32.4,2.8,
Escobar, Eduardo,500871,2021,.249,.453,.328,.310,.205,87,20.8,38,8.9,
Adrianza, Ehire,501303,2021,.249,.370,.314,.332,.121,85.4,13.4,36.1,2.8,
Lagares, Juan,501571,2021,.244,.373,.282,.274,.129,90.6,8.8,34.9,6.7,
Almonte, Abraham,501659,2021,.228,.358,.317,.344,.129,89.3,10.5,32.4,7.2,
Davis, Khris,501981,2021,.217,.412,.311,.291,.194,89.9,13.6,30.1,11,
Gibson, Kyle,502043,2021,.132,.175,.136,.132,.043,84.3,-10.6,10,5,
Pham, Tommy,502054,2021,.253,.438,.350,.362,.185,90.8,7.6,35.6,10,
Martinez, J.D.,502110,2021,.288,.533,.374,.352,.245,92.1,16.9,41.2,12.5,
Espino, Paolo,502179,2021,.185,.233,.181,.185,.048,86.9,3.3,33.3,5.6,
Reddick, Josh,502210,2021,.262,.367,.285,.289,.104,85.1,16.8,40.5,2.5,
Freeman, Mike,502273,2021,.204,.236,.232,.277,.032,80.1,11.1,30.8,0,
Dyson, Jarrod,502481,2021,.220,.285,.251,.271,.066,83.5,4.1,30.2,0.9,
Goldschmidt, Paul,502671,2021,.293,.575,.397,.366,.282,92.6,17.1,36.9,13.6,
Gonzalez, Marwin,503556,2021,.218,.334,.281,.292,.116,87.9,8.9,31.5,4.5,
Darvish, Yu,506433,2021,.142,.179,.151,.158,.037,85,-11.9,24.1,0,
Leon, Sandy,506702,2021,.170,.258,.216,.225,.088,87.3,20,31.4,2.1,
Sanchez, Adrian,506703,2021,.234,.278,.252,.294,.044,81,12.2,29,0,
Altuve, Jose,514888,2021,.262,.421,.332,.339,.159,87.7,15.6,32.1,6.4,
Hernandez, Cesar,514917,2021,.243,.386,.311,.319,.144,87.4,10.7,32.6,6.8,
Segura, Jean,516416,2021,.266,.396,.319,.328,.130,87.2,5.8,31.1,5.9,
Castro, Starlin,516770,2021,.272,.412,.324,.328,.139,88.4,9.2,33.9,5.4,
Marte, Starling,516782,2021,.277,.438,.347,.354,.161,87.6,4.6,32.6,8.4,
Bumgarner, Madison,518516,2021,.096,.147,.220,.275,.051,87.2,24.7,46.2,7.7,
Culberson, Charlie,518586,2021,.229,.321,.269,.284,.092,85.4,10.6,35.6,3.2,
d'Arnaud, Travis,518595,2021,.248,.406,.312,.309,.158,89.9,5.9,33.8,7.6,
Donaldson, Josh,518626,2021,.269,.542,.388,.372,.273,94.1,14.6,30.2,17.4,
Freeman, Freddie,518692,2021,.320,.583,.416,.410,.263,91.4,12,37.2,11.5,
Grandal, Yasmani,518735,2021,.258,.506,.412,.438,.248,93.1,14.2,32.5,13.3,
Heyward, Jason,518792,2021,.234,.367,.294,.299,.134,88.2,7.5,27.5,4.7,
Kelly, Merrill,518876,2021,.067,.075,.113,.140,.008,76.4,-3.6,11.1,0,
LeMahieu, DJ,518934,2021,.283,.397,.340,.366,.114,90.6,5,33.3,3.7,
Moreland, Mitch,519048,2021,.226,.395,.297,.286,.170,91,12.9,31.6,9.2,
Moustakas, Mike,519058,2021,.202,.329,.276,.282,.126,87,18.6,29.3,5.7,
Rizzo, Anthony,519203,2021,.261,.434,.347,.356,.173,90.1,14.8,31.4,7.7,
Romine, Austin,519222,2021,.159,.235,.187,.186,.076,87.3,9.7,23.7,5.3,
Sogard, Eric,519299,2021,.201,.272,.228,.241,.070,84,12.1,27.7,0.7,
Souza Jr., Steven,519306,2021,.123,.228,.194,.196,.105,87.3,13.4,36.8,5.3,
Stanton, Giancarlo,519317,2021,.262,.498,.363,.346,.237,95.1,10.3,32.6,15.7,
Vogt, Stephen,519390,2021,.213,.353,.288,.300,.140,88.5,19.2,32.1,5.1,
Galvis, Freddy,520471,2021,.222,.350,.280,.286,.128,86.8,14.1,34.9,4.9,
Perez, Salvador,521692,2021,.276,.566,.374,.321,.289,93,15.9,34.1,16.3,
Flores, Wilmer,527038,2021,.238,.400,.312,.314,.161,88.6,18,32.7,6,
Garcia, Avisail,541645,2021,.278,.514,.366,.346,.236,90.4,9.3,35.9,12.2,
Inciarte, Ender,542255,2021,.186,.254,.229,.249,.068,84.2,12.9,31.7,3.3,
Ozuna, Marcell,542303,2021,.268,.460,.347,.338,.192,89.7,14.5,35.2,9.9,
Villar, Jonathan,542340,2021,.235,.388,.307,.310,.153,88,7,29.9,7.4,
Ortega, Rafael,542364,2021,.252,.381,.311,.325,.129,88.3,18.3,36.8,5.7,
Santana, Danny,542454,2021,.191,.365,.275,.261,.174,87.6,16.6,26.7,7,
Aguilar, Jesus,542583,2021,.260,.453,.334,.329,.193,89.6,19,34.7,8.5,
Anderson, Tyler,542881,2021,.096,.134,.114,.119,.038,82.1,5.1,30,10,
Berti, Jon,542932,2021,.233,.325,.302,.334,.092,87.1,1.9,29.1,2.3,
Crawford, Brandon,543063,2021,.259,.492,.356,.341,.233,88.8,14.7,35.8,11.5,
Cron, C.J.,543068,2021,.261,.481,.364,.360,.220,88.8,15.8,31.9,11.5,
DeSclafani, Anthony,543101,2021,.072,.104,.121,.140,.031,80.7,17,32,4,
Dickerson, Alex,543105,2021,.261,.446,.337,.330,.185,87.4,17,35.7,10.1,
Gomes, Yan,543228,2021,.280,.469,.341,.328,.188,89.6,14.1,39.3,8.8,
Gray, Sonny,543243,2021,.140,.157,.148,.161,.017,77.7,-9,12.5,0,
Grossman, Robbie,543257,2021,.234,.399,.334,.355,.165,87.8,21.1,39.5,7.6,
Harrison, Josh,543281,2021,.278,.420,.333,.340,.142,87.2,14.5,39.5,4.4,
Hendricks, Kyle,543294,2021,.114,.132,.130,.146,.018,81.3,-0.6,15.2,0,
Hicks, Aaron,543305,2021,.240,.421,.333,.338,.180,89.3,19.1,36.3,10,
Hicks, John,543308,2021,.245,.630,.361,.245,.385,90.6,22.8,30.4,21.7,
Higashioka, Kyle,543309,2021,.233,.504,.343,.297,.271,90.5,21.7,37.8,15.6,
Hosmer, Eric,543333,2021,.268,.406,.326,.337,.137,90.5,3.3,26.6,5.8,
Lavarnway, Ryan,543432,2021,.237,.368,.272,.263,.131,85.7,18.9,42.1,10.5,
McCann, James,543510,2021,.219,.339,.280,.286,.119,87.3,9.3,32.3,6.1,
Miller, Brad,543543,2021,.247,.460,.345,.339,.213,92.4,12.9,31.1,12.3,
Nola, Austin,543592,2021,.255,.348,.301,.326,.093,89.7,14.7,30.1,0.6,
Rendon, Anthony,543685,2021,.233,.369,.303,.324,.136,89.1,22.3,31.5,5.6,
Semien, Marcus,543760,2021,.249,.459,.336,.320,.211,89.7,20.3,35.2,9.8,
Shaw, Travis,543768,2021,.215,.387,.301,.300,.173,87.7,19.9,31.6,9,
Springer III, George,543807,2021,.247,.507,.361,.339,.259,89.4,19,37.1,15.4,
Vazquez, Christian,543877,2021,.235,.337,.276,.287,.102,86.3,13.6,33,2.6,
Wong, Kolten,543939,2021,.251,.382,.308,.317,.131,88.3,12.8,35.3,5.5,
Gregorius, Didi,544369,2021,.225,.329,.275,.287,.105,86.1,18.3,32.1,2.3,
Garcia, Leury,544725,2021,.240,.336,.291,.312,.096,86.1,4.3,30.1,3.3,
